region_id	canonical_name	canonical_reading	region_type	parent_region_id	alternative_names	source_reference	notes
REGION-青森県	青森県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-静岡県	静岡県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-飛騨国	飛騨国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-香川県	香川県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-駿河国	駿河国	-	ancient_country	-	-	律令制度|現代行政	令制国
REGION-高知県	高知県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-鳥取県	鳥取県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REGION-鹿児島県	鹿児島県	-	prefecture	-	-	律令制度|現代行政	現代都道府県
REG-001	legacy_region_001	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-002	legacy_region_002	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-003	legacy_region_003	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-004	legacy_region_004	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-005	legacy_region_005	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-006	legacy_region_006	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-007	legacy_region_007	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-008	legacy_region_008	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-009	legacy_region_009	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-010	legacy_region_010	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-011	legacy_region_011	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-012	legacy_region_012	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-013	legacy_region_013	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-014	legacy_region_014	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-015	legacy_region_015	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-016	legacy_region_016	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-017	legacy_region_017	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-018	legacy_region_018	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
REG-019	legacy_region_019	-	legacy_cluster	-	-	Sprint0 暫定 ID(将来正式 region 統合)	Sprint0 期の地域クラスタ ID
